position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
5700.0,1347.513490518548,0.98,1098.1311533996002,1999338.7494137455,4920.156805840674,1341.0539369212197,0,0,102256.76664423491,2106515.672863821,10.913015234159557,0.24380174223945056,1412.586503601367,9.048353974251205,0.4866,630.2480108567079,1488.8600000000001,6.75308818278281,1273.15,0.5,2.4498613843926757e-05,-0.0017012926280504694,0.0144,0.6893387485165882,0.18089115303854378,165.0065848903665,2.238999999999998,116.43252902008126,5877.333040160274
5710.0,1347.5036912940318,0.98,1016.0112910560105,1849976.4941261848,4552.169363916349,1341.0453048907837,0,0,94619.5631855022,1949148.2266756035,10.098043134838752,0.24404672837788982,1412.5694906750864,9.778609919420624,0.4866,631.5870866348421,1488.8600000000001,7.298102536527587,1273.15,0.5,2.2668442653921425e-05,-0.0015741974065223213,0.0144,0.689319245132142,0.19565654835622662,165.0065848903665,2.238999999999998,116.7662410204157,6351.173377928689
5720.0,1347.494624246433,0.98,945.8138161500431,1722289.6124305627,4237.610474567013,1341.0373177313115,0,0,88090.54352643482,1814617.7664315645,9.401321022642213,0.24427341280442905,1412.5537487010213,10.503292518918753,0.4866,632.8295454814847,1488.8600000000001,7.83895731661969,1273.15,0.5,2.110386383866686e-05,-0.0014655460999074207,0.0144,0.6893011993627637,0.2103831585896459,165.0065848903665,2.238999999999998,117.07557554522286,6822.389955768872
5730.0,1347.4861831155797,0.98,944.0141132945209,1719133.4891483358,4229.506282456172,1341.0298818589986,0,0,87930.69552666371,1811293.6909574557,9.384328094729362,0.24448445144281572,1412.539093240022,10.522311642165503,0.4866,633.9892135641461,1488.8600000000001,7.853151922269513,1273.15,0.5,2.1065205098797364e-05,-0.0014628614651942613,0.0144,0.6892843996442586,0.21115543092507058,165.0065848903665,2.238999999999998,117.3640374944535,6847.060897964505
5740.0,1347.4777575512792,0.98,942.2289369849985,1716003.1467299059,4221.467355531338,1341.022459619871,0,0,87772.15752182389,1807996.7716072612,9.367474612851323,0.2446951034938037,1412.5244646253702,10.541242847843181,0.4866,635.1496167145611,1488.8600000000001,7.867280912106954,1273.15,0.5,2.1026862182542112e-05,-0.0014601987626765356,0.0144,0.6892676312092381,0.21192770326049526,165.0065848903665,2.238999999999998,117.65243076731406,6871.727756541998
5750.0,1347.4693474266435,0.98,910.706335858437,1658710.0387002204,4080.1973388947526,1341.0150509025846,0,0,84843.1801870285,1747633.4162261437,9.054943824436716,0.2449053721156291,1412.5098626377435,10.905073148945153,0.4866,636.3107657037705,1488.8600000000001,8.13881959349606,1273.15,0.5,2.032484104267789e-05,-0.001411447294630409,0.0144,0.6892508938034987,0.2195796039017963,165.0065848903665,2.238999999999998,117.94075750457435,7115.910382247891
5760.0,1347.4612181879868,0.98,777.020634011837,1415318.3004144048,3481.218717307749,1341.0078895504612,0,0,72394.92129938226,1491194.440431095,7.7264480678695975,0.24510862052605586,1412.495748164797,12.780105929359896,0.4866,637.4358700651758,1488.8600000000001,9.538219058612261,1273.15,0.5,1.734247564969032e-05,-0.00120433858678405,0.0144,0.689234715689147,0.257634202566391,165.0065848903665,2.238999999999998,118.2198935289031,8323.815859591856
5770.0,1347.4542818694517,0.98,770.3688144078541,1403283.4305425107,3451.389635134742,1341.0017790280478,0,0,71780.38530943252,1478515.205487078,7.660905538819083,0.24528204528255276,1412.4837047789292,12.889445544618074,0.4866,638.3980045284154,1488.8600000000001,9.619822858133281,1273.15,0.5,1.7195017130994567e-05,-0.0011940984118746227,0.0144,0.6892209118447288,0.260245253397685,165.0065848903665,2.238999999999998,118.45840933800986,8406.272167720661
5780.0,1347.4474045980253,0.98,706.9034364561337,1287750.4664025542,3167.0283763870502,1340.9957204697687,0,0,65871.63742739276,1356789.1322063338,7.030323222835072,0.2454539954538627,1412.4717637948104,14.045559732494262,0.4866,639.3538929307556,1488.8600000000001,10.482669413684874,1273.15,0.5,1.5779352342710186e-05,-0.001095788357132652,0.0144,0.6892072257111869,0.284139583054615,165.0065848903665,2.238999999999998,118.69520531895863,9158.11613221056
5790.0,1347.4410935927829,0.98,650.2426565332433,1184595.1407203728,2913.158823255108,1340.9901607192292,0,0,60595.79982272492,1248104.099366353,6.467279935647142,0.2456117889772898,1412.460805911239,15.268370280494244,0.4866,640.2327824635179,1488.8600000000001,11.395293686008861,1273.15,0.5,1.4515353842978485e-05,-0.0010080106835401725,0.0144,0.6891946666544883,0.30960637149618564,165.0065848903665,2.238999999999998,118.91277609073208,9953.671866775876
5800.0,1347.4352881794066,0.98,613.7701308218793,1118204.6037566804,2749.739491903375,1340.9850463361079,0,0,57200.41981368264,1178154.7630622664,6.104926976003198,0.24575694251571958,1412.4507258044036,16.17461194101265,0.4866,641.0427085512785,1488.8600000000001,12.071652045309095,1273.15,0.5,1.3701848488696904e-05,-0.0009515172561595073,0.0144,0.6891831138878889,0.32874361255953805,165.0065848903665,2.238999999999998,119.11314691977084,10547.279173105015
5810.0,1347.4298081725547,0.98,633.5139420718039,1154227.879445101,2838.175417284024,1340.9802185910785,0,0,59043.83590413879,1216109.8907665238,6.3017014301293015,0.24589396100060656,1412.441210631842,15.669549860448637,0.4866,641.8085113249264,1488.8600000000001,11.694707379181489,1273.15,0.5,1.4143263679194584e-05,-0.0009821710888329573,0.0144,0.6891722088116102,0.31868666165119736,165.0065848903665,2.238999999999998,119.30248905277378,10235.79609909634
5820.0,1347.4241516692593,0.98,628.3252057053534,1144828.312995838,2814.9112328438823,1340.9752353219526,0,0,58563.71159242536,1206206.9358211074,6.250487872017914,0.24603539363739851,1412.4313889209539,15.797938782847792,0.4866,642.600279927063,1488.8600000000001,11.790528311598726,1273.15,0.5,1.4028093081488213e-05,-0.0009741731306589037,0.0144,0.6891609526459541,0.3217569187649207,165.0065848903665,2.238999999999998,119.49813580328163,10330.999093748766
5830.0,1347.418541273865,0.98,644.4293986272268,1174225.624042323,2887.039676093714,1340.9702926375933,0,0,60068.24863001681,1237180.9123484336,6.411096913309489,0.2461756745682134,1412.4216471896473,15.402173153875825,0.4866,643.3869032173019,1488.8600000000001,11.495155230509313,1273.15,0.5,1.4388318025422383e-05,-0.0009991887517654433,0.0144,0.6891497883673564,0.3139614125470052,165.0065848903665,2.238999999999998,119.69239500666392,10089.086657814914
